Cluster_KMeans,Num_Clients,Avg_Age,Pct_Company,Pct_Investment_Purpose,Pct_Loan_Applied,Avg_Satisfaction,Avg_Num_Properties,Avg_Total_Investment,Avg_Purchase_Price,Avg_Floor_Area,Segment_Name
0,555,55.08,0.0,100.0,37.66,3.02,3.56,1201995.34,339391.85,1121.27,Global Investors
1,779,55.8,0.0,0.0,37.48,3.04,3.55,1076410.04,304695.01,1014.42,Home-Focused / First-Time Buyers
2,103,47.82,100.0,34.95,41.75,3.07,3.7,1263753.49,344854.97,1142.98,Corporate Buyers
3,563,58.01,0.0,4.26,34.1,3.02,3.88,1571853.5,413747.7,1358.25,High-Value / Luxury Investors
